"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Test that user can add multiple items to cart.
    Verifies that cart count increments correctly with each addition.
    ","1360","test_add_multiple_items_to_cart[firefox]","tests","2026-08-15","passed","2026-08-15","","test_cart","",""
"
    Test that invalid password shows error message.
    Verifies that login fails with incorrect password.
    ","6001","test_invalid_password[firefox]","tests","2026-08-15","passed","2026-08-15","","test_login","",""
"
    Test that user can add a single item to cart.
    Verifies that cart count increments to 1.
    ","1406","test_add_single_item_to_cart[firefox]","tests","2026-08-15","passed","2026-08-15","","test_cart","",""
"
    Test that user can add multiple items to cart.
    Verifies that cart count increments correctly with each addition.
    ","1122","test_add_multiple_items_to_cart[chromium]","tests","2026-08-15","passed","2026-08-15","","test_cart","",""
"
    Test that user can add product to cart from product detail page.
    Verifies that add to cart button works on detail page.
    ","1540","test_add_product_from_detail_page[chromium]","tests","2026-08-15","passed","2026-08-15","","test_inventory","",""
"
    Test that products can be sorted by price high to low.
    Verifies that prices are in descending order.
    ","1073","test_sort_by_price_high_low[firefox]","tests","2026-08-15","passed","2026-08-15","","test_inventory","",""
"
    Test that products can be sorted by price low to high.
    Verifies that prices are in ascending order.
    ","947","test_sort_by_price_low_high[chromium]","tests","2026-08-15","passed","2026-08-15","","test_inventory","",""
"
    Test that missing last name shows validation error.
    Verifies form validation for required last name field.
    ","1339","test_missing_last_name[webkit]","tests","2026-08-15","passed","2026-08-15","","test_checkout","",""
"
    Test that missing last name shows validation error.
    Verifies form validation for required last name field.
    ","1517","test_missing_last_name[firefox]","tests","2026-08-15","passed","2026-08-15","","test_checkout","",""
"
    Test that order total is correctly calculated.
    Verifies that total = subtotal + tax.
    ","1285","test_verify_order_total[chromium]","tests","2026-08-15","passed","2026-08-15","","test_checkout","",""
"
    Test that missing last name shows validation error.
    Verifies form validation for required last name field.
    ","1156","test_missing_last_name[chromium]","tests","2026-08-15","passed","2026-08-15","","test_checkout","",""
"
    Test that user can remove all items from cart.
    Verifies that cart becomes empty after removing multiple items.
    ","1999","test_remove_all_items[webkit]","tests","2026-08-15","passed","2026-08-15","","test_cart","",""
"
    Test that cart items persist after navigating away and back.
    Verifies that cart data is maintained across page navigation.
    ","1083","test_cart_persists_after_navigation[chromium]","tests","2026-08-15","passed","2026-08-15","","test_cart","",""
"
    Test that user can logout and return to login page.
    Verifies that logout functionality works correctly.
    ","1853","test_logout[chromium]","tests","2026-08-15","passed","2026-08-15","","test_login","",""
"
    Test that empty username field shows error message.
    Verifies validation for empty username input.
    ","850","test_empty_username[chromium]","tests","2026-08-15","passed","2026-08-15","","test_login","",""
"
    Test that empty username field shows error message.
    Verifies validation for empty username input.
    ","1041","test_empty_username[firefox]","tests","2026-08-15","passed","2026-08-15","","test_login","",""
"
    Test that invalid username shows error message.
    Verifies that login fails with non-existent username.
    ","5861","test_invalid_username[chromium]","tests","2026-08-15","passed","2026-08-15","","test_login","",""
"
    Test that empty password field shows error message.
    Verifies validation for empty password input.
    ","873","test_empty_password[chromium]","tests","2026-08-15","passed","2026-08-15","","test_login","",""
"
    Test that cart items persist after navigating away and back.
    Verifies that cart data is maintained across page navigation.
    ","1261","test_cart_persists_after_navigation[webkit]","tests","2026-08-15","passed","2026-08-15","","test_cart","",""
